cgdppc,countrycode,rgdpnapc
5946,ARG,6097
6228,ARG,6386
6677,ARG,6847
6947,ARG,7123
6714,ARG,6885
6842,ARG,7016
7119,ARG,7300
7351,ARG,7538
7481,ARG,7671
6988,ARG,7166
6358,ARG,6520
6033,ARG,6186
6203,ARG,6361
6586,ARG,6754
6766,ARG,6938
6701,ARG,6872
7067,ARG,7246
6975,ARG,7152
7105,ARG,7286
7128,ARG,7310
7373,ARG,7560
7339,ARG,7525
7164,ARG,7346
7844,ARG,8043
7462,ARG,7652
7991,ARG,8195
8718,ARG,8940
8996,ARG,9225
8646,ARG,8866
8542,ARG,8759
8425,ARG,8911
7573,ARG,8286
7985,ARG,8562
8249,ARG,8747
8681,ARG,9199
8696,ARG,9284
9069,ARG,9592
9554,ARG,10009
8665,ARG,9207
8928,ARG,9765
9455,ARG,10297
9197,ARG,9972
8877,ARG,9583
9685,ARG,10409
10458,ARG,11190
10422,ARG,11102
10598,ARG,11240
10943,ARG,11554
11761,ARG,12361
12259,ARG,12826
12699,ARG,13227
12934,ARG,13410
13551,ARG,13986
14250,ARG,14639
13953,ARG,14268
13746,ARG,13991
14399,ARG,14587
13601,ARG,13714
14400,ARG,14451
14431,ARG,14414
13441,ARG,13361
12865,ARG,12727
13179,ARG,12976
13313,ARG,13044
12313,ARG,12006
13077,ARG,12689
13276,ARG,12819
12897,ARG,12391
11979,ARG,11453
11878,ARG,11300
13006,ARG,12311
14222,ARG,13394
14993,ARG,14049
15748,ARG,14682
15192,ARG,14091
15929,ARG,14700
16353,ARG,15708
16217,ARG,16127
15150,ARG,15409
14918,ARG,15119
13913,ARG,14298
11871,ARG,12609
12636,ARG,13582
13664,ARG,14650
14832,ARG,15776
15871,ARG,16876
17303,ARG,18226
18283,ARG,18779
16893,ARG,17490
18660,ARG,19068
20003,ARG,20003
19841,ARG,19599
19876,ARG,19873
19000,ARG,19183
19316,ARG,19502
18695,ARG,18875
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
6480,ARM,5147
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
,ARM,
6139,ARM,4877
6309,ARM,5012
6482,ARM,5149
6519,ARM,5178
6727,ARM,5343
6929,ARM,5504
6868,ARM,5456
6468,ARM,5138
6146,ARM,4882
6954,ARM,5524
6389,ARM,5075
5684,ARM,4406
3346,ARM,2623
3186,ARM,2377
2704,ARM,2607
2891,ARM,2878
3155,ARM,3036
3303,ARM,3147
2961,ARM,3351
3276,ARM,3460
3324,ARM,3667
3509,ARM,4015
3803,ARM,4614
4347,ARM,5275
4633,ARM,5832
5172,ARM,6660
5925,ARM,7547
6751,ARM,8591
7360,ARM,9194
6906,ARM,7899
7642,ARM,8079
8465,ARM,8465
8827,ARM,9077
9006,ARM,9385
9260,ARM,9735
9552,ARM,10042
9588,ARM,10080
,AUS,
,AUS,
,AUS,
,AUS,
,AUS,
679,AUS,941
685,AUS,950
705,AUS,977
729,AUS,1011
770,AUS,1067
807,AUS,1118
823,AUS,1140
848,AUS,1174
869,AUS,1204
917,AUS,1271
1113,AUS,1542
1150,AUS,1593
1176,AUS,1629
1180,AUS,1635
1241,AUS,1719
1502,AUS,2081
1476,AUS,2045
1547,AUS,2143
1528,AUS,2117
1425,AUS,1975
1802,AUS,2496
1537,AUS,2129
1402,AUS,1942
1625,AUS,2252
1847,AUS,2559
1901,AUS,2633
2101,AUS,2911
2430,AUS,3367
2781,AUS,3853
2748,AUS,3807
2590,AUS,3589
3074,AUS,4259
3605,AUS,4995
3947,AUS,5469
